    Iter     M1(i)      T1(i)      M2(i)      T2(i)      U1(i)      U2(i)
 380.000   0.725890   0.668402   0.331154   0.673219   0.504343   0.709141
 381.000   0.725765   0.667520   0.329849   0.671966   0.604856   0.171913
 382.000   0.725644   0.666466   0.328545   0.671626   0.164690   0.721792
 383.000   0.725525   0.666161   0.327243   0.670352   0.824108   0.527018
 384.000   0.725408   0.664735   0.325941   0.669409   0.187323   0.760647
 385.000   0.725295   0.664391   0.324641   0.668069   0.370478   0.335178
 386.000   0.725184   0.663736   0.323342   0.667451   0.697051   0.108269
 387.000   0.725075   0.662526   0.322043   0.667220   0.138758   0.634333
 388.000   0.724970   0.662265   0.320746   0.666094   0.582774   0.520882
 389.000   0.724866   0.661249   0.319449   0.665161   0.683768   0.665803
 390.000   0.724765   0.660061   0.318153   0.663982   0.725102   0.330382
 391.000   0.724668   0.658803   0.316859   0.663373   0.654026   0.545336
 392.000   0.724573   0.657666   0.315565   0.662398   0.417217   0.149273
